시도교육청,학교명,시도,시군구,행정구,읍면동,상세주소,소재지지번주소,소재지도로명주소,위도,경도,이용인원,저학년_학급수,저학년_학생수,고학년_학급수,고학년_학생수,1학년 학급수,1학년 학생수,1학년 학급당 학생수,2학년 학급수,2학년 학생수,2학년 학급당 학생수,3학년 학급수,3학년 학생수,3학년 학급당 학생수,4학년 학급수,4학년 학생수,4학년 학급당 학생수,5학년 학급수,5학년 학생수,5학년 학급당 학생수,6학년 학급수,6학년 학생수,6학년 학급당 학생수,특수학급 학급수,특수학급 학생수,특수학급 학급당 학생수,순회학급 학급수,순회학급 학생수,순회학급 학급당 학생수,학급수(계),학생수(계),학급당 학생수(계),교사수,수업교원 1인당 학생수,설립구분,본교분교구분,다문화자녀수,2023_총수입금액(백만원),2023_1인당_총수입금액(만원),표준화_총수입,8세,9세,10세,11세,12세,13세,조사기준일,학교세부유형,일반교실,교과교실,특별교실,수준별교실,기타교실,교지면적(m),학생1인당교지면적,시도별(1),시도별 실내체육시설(계),시도별 실외체육시설(계)
전라남도교육청,가거도초등학교,전라남도,신안군,,흑산면,가거도리 266,전라남도 신안군 흑산면 가거도리 266,전라남도 신안군 흑산면 가거도길 18-31,34.05255202,125.1302548,7,1.0,3.0,2.0,4.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,2.3,3.0,2.3,공립,본교,30.0,693867.0,14906.0,-0.9877603785128354,6.0,7.0,11.0,14.0,23.0,12.0,20230401,해당없음,4,1,0,0,0,3425,489.3,전라남도,1773,1263
충청북도교육청,가경초등학교,충청북도,청주시,흥덕구,복대동,2443,충청북도 청주시 흥덕구 복대동 2443,충청북도 청주시 흥덕구 장구봉로 93,36.62474354,127.4436191,57,5.0,118.0,11.0,214.0,2.0,54.0,27.0,3.0,64.0,21.3,2.0,38.0,19.0,3.0,56.0,18.7,3.0,61.0,20.3,3.0,59.0,19.7,3.0,15.0,5.0,0.0,0.0,0.0,19.0,347.0,18.3,23.0,15.1,공립,본교,263.0,21906393.0,14483.0,1.139727726085743,709.0,712.0,750.0,788.0,790.0,742.0,20230401,해당없음,22,0,13,0,0,15713,45.3,충청북도,1041,984
경상남도교육청,가고파초등학교,경상남도,창원시,마산회원구,양덕동,84-3,경상남도 창원시 마산회원구 양덕동 84-3,경상남도 창원시 마산회원구 삼호로 110,35.22578392,128.580473,83,19.0,483.0,39.0,1048.0,9.0,222.0,24.7,10.0,261.0,26.1,9.0,244.0,27.1,10.0,275.0,27.5,10.0,260.0,26.0,10.0,269.0,26.9,0.0,0.0,0.0,0.0,0.0,0.0,58.0,1531.0,26.4,69.0,22.2,공립,본교,139.0,28398200.0,16665.0,1.7908167180261552,420.0,405.0,454.0,462.0,468.0,445.0,20230401,해당없음,58,0,6,0,0,15400,10.1,경상남도,1890,1783
경기도교육청,가곡초등학교,경기도,남양주시,,화도읍,가곡리 279-21,경기도 남양주시 화도읍 가곡리 279-21,경기도 남양주시 화도읍 비룡로379번길 3,37.68437154,127.3052128,39,6.0,150.0,13.0,328.0,3.0,74.0,24.7,3.0,76.0,25.3,4.0,92.0,23.0,3.0,72.0,24.0,3.0,80.0,26.7,3.0,84.0,28.0,2.0,9.0,4.5,0.0,0.0,0.0,21.0,487.0,23.2,25.0,19.5,공립,본교,735.0,24870823.0,14330.0,1.437042131824841,1025.0,1092.0,1161.0,1249.0,1335.0,1199.0,20230401,해당없음,31,0,6,0,0,11793,24.2,경기도,5433,4612
충청북도교육청,가곡초등학교,충청북도,단양군,,가곡면,사평리 435,충청북도 단양군 가곡면 사평리 435,충청북도 단양군 가곡면 남한강로 548,37.02689438,128.3855597,23,2.0,7.0,3.0,16.0,1.0,3.0,3.0,1.0,4.0,4.0,0.0,0.0,0.0,1.0,7.0,7.0,1.0,3.0,3.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,23.0,4.6,5.0,4.6,공립,본교,9.0,519796.0,13547.0,-1.005218647360948,6.0,6.0,13.0,15.0,9.0,16.0,20230401,해당없음,6,0,6,0,1,17242,749.7,충청북도,1041,984
충청북도교육청,가곡초등학교대곡분교장,충청북도,단양군,,가곡면,대대리 220-1,충청북도 단양군 가곡면 대대리 220-1,충청북도 단양군 가곡면 대대길 51,36.99798735,128.4263416,9,0.0,0.0,4.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,3.0,3.0,1.0,7.0,7.0,1.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,22.0,5.5,5.0,4.4,공립,분교,9.0,519796.0,13547.0,-1.005218647360948,6.0,6.0,13.0,15.0,9.0,16.0,20230401,해당없음,5,0,1,0,2,12182,553.7,충청북도,1041,984
충청북도교육청,가곡초등학교보발분교장,충청북도,단양군,,가곡면,보발리 711-1,충청북도 단양군 가곡면 보발리 711-1,충청북도 단양군 가곡면 보발본동1길 17,37.02953921,128.4487532,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,공립,분교,9.0,519796.0,13547.0,-1.005218647360948,6.0,6.0,13.0,15.0,9.0,16.0,20230401,해당없음,5,0,1,0,1,12267,12267,충청북도,1041,984
부산광역시교육청,가남초등학교,부산광역시,부산진구,,가야동,12,부산광역시 부산진구 가야동 12,부산광역시 부산진구 엄광로 325,35.15451624,129.0440621,39,2.0,29.0,4.0,47.0,1.0,13.0,13.0,1.0,16.0,16.0,1.0,8.0,8.0,1.0,9.0,9.0,1.0,12.0,12.0,1.0,18.0,18.0,1.0,2.0,2.0,0.0,0.0,0.0,7.0,78.0,11.1,9.0,8.7,공립,본교,65.0,10460762.0,15872.0,-0.0081998617048261,111.0,133.0,129.0,144.0,148.0,136.0,20230401,해당없음,7,0,5,0,4,2747,35.2,부산광역시,1211,1046
경상남도교육청,가남초등학교,경상남도,양산시,,물금읍,가촌리 1277-5,경상남도 양산시 물금읍 가촌리 1277-5,경상남도 양산시 물금읍 청운로 114,35.31212856,128.9981218,50,18.0,432.0,28.0,710.0,9.0,196.0,21.8,9.0,236.0,26.2,7.0,189.0,27.0,7.0,162.0,23.1,8.0,208.0,26.0,6.0,151.0,25.2,3.0,14.0,4.7,0.0,0.0,0.0,49.0,1156.0,23.6,58.0,19.9,공립,본교,475.0,9670287.0,15701.0,-0.0874797249084144,1834.0,1706.0,1607.0,1727.0,1679.0,1430.0,20230401,해당없음,45,1,3,2,2,14094,12.2,경상남도,1890,1783
충청남도교육청,가남초등학교,충청남도,청양군,,비봉면,록평리 29,충청남도 청양군 비봉면 록평리 29,충청남도 청양군 비봉면 충절로 1962-7,36.51658243,126.7888904,43,2.0,22.0,4.0,30.0,1.0,9.0,9.0,1.0,13.0,13.0,1.0,7.0,7.0,1.0,11.0,11.0,1.0,6.0,6.0,1.0,6.0,6.0,1.0,4.0,4.0,0.0,0.0,0.0,7.0,56.0,8.0,8.0,7.0,공립,본교,28.0,537156.0,14203.0,-1.003477544321365,6.0,6.0,6.0,0.0,5.0,8.0,20230401,해당없음,8,0,3,2,0,18833,336.3,충청남도,1495,1199
